JD V-C s1
2460440.3743932 -0.48630 0.00233
2460440.3750930 -0.48109 0.00237
2460440.3757922 -0.47764 0.00232
2460440.3764917 -0.48762 0.00230
2460440.3771908 -0.48314 0.00228
2460440.3778902 -0.48395 0.00227
2460440.3785894 -0.48444 0.00230
2460440.3792889 -0.47827 0.00229
2460440.3799880 -0.48628 0.00228
2460440.3806875 -0.48055 0.00230
2460440.3813868 -0.48886 0.00230
2460440.3820866 -0.47992 0.00231
2460440.3827857 -0.48142 0.00231
2460440.3834848 -0.48449 0.00233
2460440.3841844 -0.47895 0.00228
2460440.3848841 -0.47899 0.00228
2460440.3855845 -0.47835 0.00227
2460440.3862839 -0.48736 0.00227
2460440.3869843 -0.48190 0.00227
2460440.3876843 -0.48253 0.00232
2460440.3883837 -0.48289 0.00232
2460440.3890829 -0.48237 0.00229
2460440.3897824 -0.48545 0.00238
2460440.3904826 -0.47846 0.00243
2460440.3911823 -0.48662 0.00243
2460440.3918817 -0.48175 0.00240
2460440.3925813 -0.48464 0.00241
2460440.3932807 -0.48300 0.00261
2460440.3939801 -0.48151 0.00255
2460440.3946795 -0.48308 0.00241
2460440.3953791 -0.48184 0.00239
2460440.3960786 -0.48511 0.00247
2460440.3967793 -0.48067 0.00250
2460440.3974785 -0.48382 0.00250
2460440.3981780 -0.48029 0.00244
2460440.3988782 -0.48294 0.00241
2460440.3995777 -0.48976 0.00241
2460440.4002771 -0.48237 0.00238
2460440.4009764 -0.48233 0.00233
2460440.4016760 -0.48582 0.00235
2460440.4023757 -0.47951 0.00239
2460440.4030753 -0.47693 0.00237
2460440.4037748 -0.48504 0.00236
2460440.4044752 -0.48480 0.00232
2460440.4051754 -0.48431 0.00227
2460440.4058748 -0.48304 0.00225
2460440.4065738 -0.48144 0.00220
2460440.4072733 -0.47849 0.00220
2460440.4079724 -0.48250 0.00219
2460440.4086717 -0.47938 0.00218
2460440.4093711 -0.47885 0.00223
2460440.4100711 -0.47892 0.00225
2460440.4107703 -0.48254 0.00231
2460440.4114694 -0.48424 0.00224
2460440.4121692 -0.48222 0.00224
2460440.4128694 -0.48136 0.00225
2460440.4135690 -0.48656 0.00228
2460440.4142683 -0.48258 0.00227
2460440.4149680 -0.48225 0.00226
2460440.4156675 -0.48634 0.00230
2460440.4163679 -0.48495 0.00228
2460440.4170671 -0.48212 0.00231
2460440.4177667 -0.48298 0.00234
2460440.4184661 -0.47930 0.00238
2460440.4191654 -0.47344 0.00224
2460440.4198647 -0.47445 0.00221
2460440.4205645 -0.47721 0.00221
2460440.4212640 -0.47871 0.00224
2460440.4219645 -0.47344 0.00221
2460440.4257705 -0.47089 0.00216
2460440.4264708 -0.46407 0.00216
2460440.4271705 -0.46821 0.00219
2460440.4278700 -0.46237 0.00219
2460440.4285692 -0.46195 0.00218
2460440.4292683 -0.46116 0.00223
2460440.4299675 -0.46279 0.00230
2460440.4306670 -0.45721 0.00234
2460440.4313664 -0.46035 0.00221
2460440.4320656 -0.46098 0.00221
2460440.4327652 -0.45968 0.00221
2460440.4334647 -0.46193 0.00221
2460440.4341643 -0.46263 0.00222
2460440.4348639 -0.46049 0.00221
2460440.4355632 -0.45685 0.00220
2460440.4362624 -0.45946 0.00220
2460440.4369620 -0.45804 0.00220
2460440.4376616 -0.45595 0.00219
2460440.4383612 -0.45768 0.00223
2460440.4390605 -0.45691 0.00226
2460440.4397598 -0.45791 0.00223
2460440.4404593 -0.45837 0.00226
2460440.4411586 -0.45207 0.00223
2460440.4418587 -0.46234 0.00228
2460440.4425580 -0.45607 0.00224
2460440.4463256 -0.45511 0.00221
2460440.4470257 -0.45942 0.00221
2460440.4477263 -0.45343 0.00223
2460440.4484260 -0.45654 0.00221
2460440.4491258 -0.45275 0.00225
2460440.4498251 -0.45882 0.00226
2460440.4505244 -0.45325 0.00223
2460440.4512238 -0.45513 0.00222
2460440.4519231 -0.45607 0.00223
2460440.4526227 -0.45566 0.00223
2460440.4533220 -0.45192 0.00223
2460440.4540215 -0.45374 0.00221
2460440.4547208 -0.45478 0.00221
2460440.4554199 -0.45558 0.00219
2460440.4561200 -0.45121 0.00218
2460440.4568192 -0.45571 0.00218
2460440.4575184 -0.45557 0.00221
2460440.4582179 -0.45342 0.00219
2460440.4589174 -0.45884 0.00219
2460440.4596169 -0.45708 0.00218
2460440.4603160 -0.45389 0.00217
