JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C1-K1 s6 C1-K2 s7 C1-K3 s8 C1-K4 s9 C2-K1 s10 C2-K2 s11 C2-K3 s12 C2-K4 s13 K1-K2 s14 K1-K3 s15 K1-K4 s16 K2-K3 s17 K2-K4 s18 K3-K4 s19
Aperture: 6, Filter: L, JD: geocentric
2460492.3775810 0.78597 0.00432 -0.53655 0.00571 -2.56831 0.02772 -0.74998 0.00629 -1.74101 0.01413 0.55506 0.00893 -1.47670 0.02856 0.34163 0.00931 -0.64940 0.01571 -1.97424 0.00494 -4.00600 0.02757 -2.18768 0.00560 -3.17871 0.01383 -2.03176 0.02797 -0.21343 0.00731 -1.20446 0.01461 1.81832 0.02809 0.82729 0.03081 -0.99103 0.01485
2460492.3790278 0.79581 0.00415 -0.51725 0.00535 -2.50109 0.02519 -0.71676 0.00592 -1.68884 0.01279 0.57094 0.00836 -1.41291 0.02599 0.37143 0.00873 -0.60066 0.01432 -1.96541 0.00457 -3.94925 0.02503 -2.16492 0.00522 -3.13700 0.01249 -1.98385 0.02540 -0.19951 0.00677 -1.17159 0.01321 1.78434 0.02553 0.81226 0.02793 -0.97208 0.01345
2460492.3804745 0.80246 0.00403 -0.50375 0.00512 -2.46120 0.02273 -0.70238 0.00560 -1.66632 0.01183 0.57515 0.00809 -1.38229 0.02358 0.37652 0.00840 -0.58741 0.01338 -1.95831 0.00437 -3.91575 0.02257 -2.15694 0.00492 -3.12087 0.01152 -1.95745 0.02294 -0.19863 0.00640 -1.16256 0.01223 1.75881 0.02305 0.79488 0.02530 -0.96393 0.01244
2460492.3819213 0.81087 0.00385 -0.49810 0.00495 -2.48088 0.02232 -0.71130 0.00550 -1.67745 0.01102 0.56904 0.00779 -1.41374 0.02312 0.35584 0.00816 -0.61031 0.01256 -1.96074 0.00425 -3.94352 0.02218 -2.17394 0.00489 -3.14009 0.01073 -1.98278 0.02253 -0.21320 0.00630 -1.17935 0.01144 1.76958 0.02266 0.80343 0.02459 -0.96615 0.01169
2460492.3833681 0.81991 0.00371 -0.49438 0.00481 -2.47941 0.02091 -0.69481 0.00529 -1.67146 0.01114 0.55743 0.00722 -1.42759 0.02159 0.35700 0.00755 -0.61964 0.01237 -1.96545 0.00410 -3.95047 0.02076 -2.16587 0.00464 -3.14252 0.01085 -1.98502 0.02111 -0.20043 0.00601 -1.17707 0.01150 1.78460 0.02122 0.80795 0.02338 -0.97665 0.01171
2460492.3848264 0.81558 0.00350 -0.49094 0.00452 -2.48696 0.01967 -0.69676 0.00506 -1.65373 0.01039 0.57448 0.00678 -1.42154 0.02031 0.36866 0.00715 -0.58831 0.01156 -1.95857 0.00385 -3.95459 0.01953 -2.16439 0.00446 -3.12136 0.01012 -1.99602 0.01985 -0.20582 0.00572 -1.16279 0.01073 1.79020 0.01998 0.83323 0.02195 -0.95697 0.01097
2460492.3862731 0.83538 0.00350 -0.48725 0.00445 -2.47494 0.01845 -0.67861 0.00494 -1.68157 0.01013 0.56512 0.00674 -1.42257 0.01914 0.37377 0.00708 -0.62920 0.01132 -1.97534 0.00377 -3.96303 0.01830 -2.16670 0.00434 -3.16966 0.00985 -1.98769 0.01863 -0.19136 0.00557 -1.19432 0.01045 1.79633 0.01875 0.79337 0.02073 -1.00296 0.01067
2460492.3877315 0.83466 0.00350 -0.47761 0.00454 -2.44534 0.01782 -0.67156 0.00484 -1.66115 0.01003 0.57061 0.00671 -1.39712 0.01850 0.37667 0.00692 -0.61292 0.01118 -1.96451 0.00386 -3.93224 0.01766 -2.15846 0.00421 -3.14805 0.00974 -1.96773 0.01802 -0.19394 0.00552 -1.18354 0.01037 1.77379 0.01810 0.78419 0.02011 -0.98959 0.01051
2460492.3891782 0.83852 0.00342 -0.47907 0.00438 -2.49375 0.01869 -0.66959 0.00478 -1.65660 0.00963 0.56281 0.00648 -1.45187 0.01929 0.37230 0.00676 -0.61471 0.01075 -1.96959 0.00370 -3.98427 0.01854 -2.16011 0.00417 -3.14712 0.00934 -2.01468 0.01885 -0.19052 0.00538 -1.17753 0.00994 1.82416 0.01895 0.83715 0.02071 -0.98701 0.01013
2460492.3906250 0.83803 0.00342 -0.47679 0.00438 -2.46899 0.01867 -0.67356 0.00477 -1.65371 0.00955 0.57644 0.00657 -1.41576 0.01930 0.37967 0.00683 -0.60047 0.01073 -1.96786 0.00372 -3.96007 0.01853 -2.16463 0.00417 -3.14478 0.00926 -1.99220 0.01884 -0.19677 0.00540 -1.17692 0.00988 1.79544 0.01894 0.81529 0.02066 -0.98015 0.01006
2460492.3920718 0.83200 0.00340 -0.49190 0.00443 -2.49723 0.01763 -0.67749 0.00476 -1.65818 0.01001 0.55601 0.00644 -1.44932 0.01824 0.37043 0.00668 -0.61027 0.01105 -1.97586 0.00377 -3.98119 0.01748 -2.16144 0.00415 -3.14214 0.00974 -2.00533 0.01782 -0.18558 0.00542 -1.16628 0.01034 1.81975 0.01791 0.83905 0.01996 -0.98069 0.01049
2460492.3935301 0.84553 0.00340 -0.47319 0.00440 -2.49978 0.01796 -0.66225 0.00475 -1.65673 0.00964 0.57497 0.00646 -1.45163 0.01857 0.38590 0.00671 -0.60857 0.01074 -1.97200 0.00374 -3.99860 0.01781 -2.16107 0.00415 -3.15554 0.00936 -2.02660 0.01814 -0.18907 0.00539 -1.18354 0.00997 1.83753 0.01823 0.84306 0.02007 -0.99447 0.01013
2460492.3949769 0.83755 0.00329 -0.47892 0.00425 -2.50515 0.01781 -0.67703 0.00453 -1.66509 0.00957 0.56680 0.00630 -1.45943 0.01841 0.36868 0.00650 -0.61937 0.01064 -1.96875 0.00363 -3.99497 0.01768 -2.16686 0.00396 -3.15491 0.00931 -2.02623 0.01799 -0.19811 0.00517 -1.18617 0.00989 1.82811 0.01806 0.84006 0.01992 -0.98805 0.01001
2460492.3964236 0.84087 0.00328 -0.48317 0.00427 -2.49892 0.01717 -0.66621 0.00454 -1.66607 0.00903 0.55438 0.00628 -1.46137 0.01777 0.37134 0.00647 -0.62852 0.01014 -1.97585 0.00364 -3.99160 0.01702 -2.15889 0.00396 -3.15875 0.00876 -2.01575 0.01735 -0.18305 0.00519 -1.18290 0.00938 1.83271 0.01742 0.83285 0.01909 -0.99986 0.00950
2460492.3986343 0.83755 0.00326 -0.47587 0.00414 -2.51392 0.01726 -0.67621 0.00449 -1.65730 0.00878 0.56279 0.00611 -1.47526 0.01784 0.36245 0.00635 -0.61864 0.00986 -1.96501 0.00349 -4.00306 0.01712 -2.16535 0.00390 -3.14644 0.00849 -2.03805 0.01742 -0.20035 0.00504 -1.18143 0.00907 1.83771 0.01750 0.85662 0.01906 -0.98109 0.00924
