JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 C1-K1 s5 C1-K2 s6 C1-K3 s7 C2-K1 s8 C2-K2 s9 C2-K3 s10 K1-K2 s11 K1-K3 s12 K2-K3 s13
Aperture: 5, Filter: L, JD: geocentric
2460492.4160069 -1.59019 0.00597 -0.59413 0.00377 -1.76657 0.00792 -0.78738 0.00416 0.56006 0.00549 -0.61238 0.00887 0.36680 0.00577 1.73608 0.01163 0.56364 0.01355 1.54283 0.01176 -1.17244 0.00823 -0.19326 0.00472 0.97918 0.00841
2460492.4015394 -1.49760 0.00592 99.99999 9.99999 99.99999 9.99999 -0.68834 0.00406 99.99999 9.99999 99.99999 9.99999 0.36856 0.00550 99.99999 9.99999 99.99999 9.99999 1.56325 0.01165 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
2460492.4131134 -1.59010 0.00594 99.99999 9.99999 -1.75802 0.00772 -0.78598 0.00413 99.99999 9.99999 -0.60350 0.00871 0.36853 0.00576 99.99999 9.99999 0.57084 0.01338 1.54288 0.01168 99.99999 9.99999 99.99999 9.99999 0.97204 0.00822
2460492.4710995 -1.59904 0.00552 -0.58371 0.00353 -1.74282 0.00676 -0.77916 0.00382 0.58008 0.00514 -0.57903 0.00772 0.38463 0.00535 1.75310 0.01065 0.59399 0.01211 1.55765 0.01075 -1.15911 0.00706 -0.19545 0.00433 0.96366 0.00721
2460492.4725463 -1.58805 0.00527 -0.59277 0.00345 -1.75723 0.00668 -0.78972 0.00379 0.55122 0.00493 -0.61324 0.00755 0.35426 0.00518 1.75944 0.01015 0.59498 0.01165 1.56248 0.01028 -1.16446 0.00697 -0.19696 0.00429 0.96751 0.00715
2460492.3819213 -1.50322 0.00735 -0.49654 0.00418 -1.67593 0.00880 -0.70795 0.00461 0.56267 0.00635 -0.61671 0.01001 0.35126 0.00663 1.77070 0.01476 0.59131 0.01667 1.55929 0.01489 -1.17939 0.00915 -0.21141 0.00524 0.96798 0.00935
2460492.4740046 -1.59241 0.00538 -0.57058 0.00342 -1.76410 0.00677 -0.77459 0.00372 0.57677 0.00493 -0.61674 0.00765 0.37276 0.00514 1.78899 0.01045 0.59548 0.01198 1.58498 0.01055 -1.19351 0.00705 -0.20401 0.00420 0.98951 0.00720
2460492.4754630 -1.58051 0.00544 -0.56345 0.00343 -1.71641 0.00666 -0.75721 0.00372 0.57615 0.00495 -0.57682 0.00755 0.38238 0.00515 1.77170 0.01058 0.61873 0.01202 1.57793 0.01068 -1.15297 0.00693 -0.19376 0.00419 0.95920 0.00708
2460492.4856019 -1.52461 0.00522 -0.52153 0.00340 -1.68022 0.00659 -0.71093 0.00365 0.56168 0.00481 -0.59701 0.00742 0.37229 0.00500 1.75916 0.01004 0.60046 0.01152 1.56976 0.01013 -1.15869 0.00685 -0.18940 0.00410 0.96930 0.00698
2460492.4558565 -1.50327 0.00596 -0.49455 0.00381 -1.66152 0.00727 -0.69843 0.00414 0.57264 0.00544 -0.59433 0.00824 0.36876 0.00568 1.74896 0.01147 0.58199 0.01303 1.54507 0.01158 -1.16697 0.00754 -0.20389 0.00461 0.96308 0.00771
2460492.4841551 -1.52734 0.00517 -0.52330 0.00341 -1.68682 0.00659 -0.71532 0.00364 0.56266 0.00479 -0.60085 0.00740 0.37064 0.00496 1.76007 0.00995 0.59655 0.01143 1.56805 0.01003 -1.16352 0.00686 -0.19202 0.00410 0.97149 0.00697
2460492.3833681 -1.49606 0.00683 -0.49235 0.00410 -1.67038 0.00890 -0.69072 0.00447 0.56529 0.00600 -0.61274 0.00992 0.36692 0.00626 1.75089 0.01355 0.57286 0.01568 1.55252 0.01366 -1.17803 0.00920 -0.19837 0.00505 0.97966 0.00937
2460492.4196412 -1.59341 0.00589 -0.59004 0.00375 -1.75876 0.00744 -0.77882 0.00399 0.56317 0.00545 -0.60555 0.00842 0.37439 0.00562 1.75584 0.01149 0.58713 0.01316 1.56707 0.01157 -1.16872 0.00777 -0.18878 0.00457 0.97994 0.00789
2460492.4225347 -1.59345 0.00605 -0.58948 0.00378 -1.76449 0.00742 -0.78643 0.00411 0.55629 0.00542 -0.61872 0.00837 0.35934 0.00565 1.77921 0.01203 0.60420 0.01361 1.58226 0.01213 -1.17501 0.00777 -0.19696 0.00471 0.97805 0.00793
2460492.4529630 -1.50664 0.00603 -0.49703 0.00384 -1.65951 0.00761 -0.69363 0.00418 0.56956 0.00542 -0.59292 0.00852 0.37296 0.00567 1.76164 0.01178 0.59917 0.01349 1.56504 0.01190 -1.16247 0.00790 -0.19660 0.00469 0.96588 0.00808
2460492.6182639 -1.56673 0.00655 -0.56404 0.00391 -1.72081 0.00853 -0.74570 0.00416 0.55687 0.00575 -0.59990 0.00952 0.37521 0.00593 1.77221 0.01311 0.61544 0.01515 1.59055 0.01319 -1.15677 0.00886 -0.18166 0.00479 0.97511 0.00898
2460492.3906250 -1.49104 0.00622 -0.47435 0.00384 -1.65830 0.00783 -0.67267 0.00416 0.57714 0.00557 -0.60682 0.00880 0.37882 0.00579 1.76726 0.01217 0.58331 0.01395 1.56895 0.01227 -1.18395 0.00811 -0.19832 0.00467 0.98564 0.00827
2460492.4210880 -1.59481 0.00590 -0.59165 0.00375 -1.75155 0.00761 -0.78102 0.00408 0.55715 0.00546 -0.60276 0.00858 0.36778 0.00569 1.77327 0.01145 0.61336 0.01323 1.58390 0.01156 -1.15991 0.00793 -0.18937 0.00464 0.97054 0.00809
2460492.4254282 -1.55640 0.00614 -0.56151 0.00385 -1.74491 0.00785 -0.75971 0.00411 0.55436 0.00557 -0.62904 0.00882 0.35616 0.00575 1.74835 0.01206 0.56495 0.01387 1.55016 0.01214 -1.18340 0.00818 -0.19820 0.00470 0.98520 0.00830
2460492.4812500 -1.53730 0.00527 -0.52811 0.00342 -1.69126 0.00665 -0.73090 0.00369 0.56753 0.00485 -0.59561 0.00749 0.36475 0.00505 1.76605 0.01018 0.60291 0.01167 1.56327 0.01028 -1.16314 0.00692 -0.20278 0.00416 0.96036 0.00706
2460492.6567014 -1.46040 0.01022 -0.47226 0.00577 -1.63091 0.01350 -0.66097 0.00629 0.55399 0.00891 -0.60466 0.01511 0.36529 0.00926 1.72266 0.02049 0.56401 0.02385 1.53396 0.02064 -1.15865 0.01396 -0.18870 0.00723 0.96995 0.01419
2460492.4239815 -1.58300 0.00620 -0.56034 0.00380 -1.74028 0.00773 -0.76097 0.00412 0.57657 0.00561 -0.60337 0.00876 0.37594 0.00584 1.79304 0.01214 0.61310 0.01388 1.59241 0.01225 -1.17994 0.00804 -0.20063 0.00468 0.97932 0.00820
2460492.4268866 -1.55525 0.00637 -0.53565 0.00395 -1.71819 0.00795 -0.73367 0.00427 0.57694 0.00577 -0.60560 0.00899 0.37892 0.00599 1.77951 0.01251 0.59697 0.01429 1.58149 0.01261 -1.18254 0.00828 -0.19802 0.00486 0.98452 0.00844
2460492.4696528 -1.59244 0.00563 -0.59506 0.00365 -1.75484 0.00718 -0.78668 0.00393 0.55670 0.00525 -0.60307 0.00811 0.36508 0.00545 1.75128 0.01097 0.59150 0.01260 1.55966 0.01107 -1.15977 0.00752 -0.19162 0.00451 0.96815 0.00766
2460492.4827083 -1.52532 0.00513 -0.53117 0.00340 -1.68934 0.00660 -0.71674 0.00364 0.54759 0.00480 -0.61058 0.00742 0.36201 0.00497 1.76595 0.00984 0.60779 0.01135 1.58038 0.00993 -1.15817 0.00687 -0.18557 0.00411 0.97259 0.00699
2460492.4906829 -1.50073 0.00511 -0.48924 0.00337 -1.64118 0.00634 -0.68641 0.00360 0.56946 0.00476 -0.58248 0.00718 0.37229 0.00493 1.76948 0.00975 0.61755 0.01113 1.57232 0.00983 -1.15194 0.00659 -0.19717 0.00403 0.95477 0.00672
2460492.4993866 -1.48851 0.00520 -0.48170 0.00338 -1.64754 0.00643 -0.66988 0.00368 0.56547 0.00476 -0.60037 0.00726 0.37730 0.00499 1.76273 0.00999 0.59688 0.01139 1.57455 0.01010 -1.16584 0.00667 -0.18817 0.00409 0.97767 0.00683
2460492.5080903 -1.49726 0.00512 -0.49588 0.00338 -1.66261 0.00645 -0.68459 0.00361 0.56278 0.00477 -0.60395 0.00727 0.37408 0.00494 1.74907 0.00979 0.58235 0.01122 1.56037 0.00987 -1.16672 0.00671 -0.18870 0.00405 0.97802 0.00682
2460492.5907176 -1.50554 0.00583 -0.48925 0.00374 -1.66763 0.00728 -0.69147 0.00400 0.57964 0.00539 -0.59874 0.00825 0.37743 0.00558 1.75818 0.01129 0.57980 0.01290 1.55597 0.01138 -1.17838 0.00758 -0.20221 0.00454 0.97617 0.00772
2460492.5986921 -1.47480 0.00591 -0.46783 0.00377 -1.63612 0.00761 -0.65361 0.00403 0.56693 0.00543 -0.60136 0.00855 0.38115 0.00561 1.75898 0.01140 0.59070 0.01317 1.57321 0.01149 -1.16829 0.00789 -0.18578 0.00454 0.98251 0.00802
