JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 K1-K2 s8
Aperture: 6, Filter: L, JD: geocentric


2460492.4442824 0.83142 0.00352 -0.47824 0.00449 -1.65042 0.00955 0.57617 0.00678 -0.59601 0.01082 -1.96219 0.00382 -3.13436 0.00926 -1.17218 0.00990
2460492.4457292 0.82852 0.00343 -0.48177 0.00440 -1.67857 0.00971 0.56559 0.00657 -0.63122 0.01086 -1.96185 0.00375 -3.15866 0.00943 -1.19680 0.01004
2460492.4486227 0.83587 0.00348 -0.48043 0.00437 -1.66720 0.00959 0.57552 0.00654 -0.61125 0.01075 -1.96940 0.00367 -3.15617 0.00929 -1.18677 0.00988
2460492.4500694 0.84180 0.00344 -0.48407 0.00447 -1.64240 0.00938 0.56523 0.00653 -0.59311 0.01052 -1.97890 0.00380 -3.13724 0.00908 -1.15833 0.00973
2460492.4515162 0.82204 0.00341 -0.50089 0.00438 -1.65879 0.00966 0.57155 0.00648 -0.58635 0.01078 -1.97628 0.00373 -3.13419 0.00938 -1.15790 0.00998
2460492.4529630 0.82486 0.00333 -0.49723 0.00432 -1.65193 0.00922 0.56959 0.00631 -0.58512 0.01031 -1.97517 0.00369 -3.12988 0.00895 -1.15471 0.00956
2460492.4544097 0.82318 0.00334 -0.49697 0.00431 -1.66168 0.00940 0.57574 0.00632 -0.58896 0.01048 -1.97365 0.00366 -3.13836 0.00912 -1.16471 0.00972
2460492.4558565 0.82726 0.00339 -0.49398 0.00428 -1.66850 0.00881 0.57429 0.00633 -0.60023 0.00997 -1.97469 0.00361 -3.14922 0.00851 -1.17452 0.00912
2460492.4573148 0.81413 0.00336 -0.51324 0.00433 -1.64806 0.00905 0.56004 0.00632 -0.57478 0.01015 -1.98005 0.00368 -3.11487 0.00875 -1.13482 0.00938
2460492.4587616 0.81450 0.00340 -0.51826 0.00442 -1.67955 0.00959 0.55912 0.00655 -0.60217 0.01075 -1.98586 0.00378 -3.14715 0.00932 -1.16129 0.00995
2460492.4602199 0.79507 0.00341 -0.52773 0.00435 -1.67910 0.00956 0.56701 0.00659 -0.58435 0.01076 -1.97571 0.00373 -3.12707 0.00929 -1.15137 0.00990
2460492.4616551 0.80278 0.00343 -0.51261 0.00446 -1.66814 0.00936 0.56607 0.00661 -0.58946 0.01056 -1.96749 0.00382 -3.12302 0.00908 -1.15553 0.00973
2460492.4631134 0.78548 0.00345 -0.53520 0.00444 -1.69993 0.00963 0.57284 0.00659 -0.59189 0.01080 -1.97394 0.00379 -3.13868 0.00935 -1.16473 0.00998
2460492.4645486 0.76982 0.00339 -0.55207 0.00444 -1.71921 0.00952 0.57659 0.00660 -0.59055 0.01070 -1.97564 0.00384 -3.14277 0.00926 -1.16714 0.00991
2460492.4660069 0.75632 0.00330 -0.57313 0.00431 -1.73686 0.00947 0.55451 0.00640 -0.60922 0.01058 -1.98179 0.00372 -3.14552 0.00922 -1.16372 0.00983
2460492.4674653 0.75115 0.00321 -0.56939 0.00423 -1.73074 0.00898 0.56696 0.00632 -0.59439 0.01013 -1.97322 0.00368 -3.13457 0.00873 -1.16135 0.00936
2460492.4696528 0.72896 0.00309 -0.59994 0.00410 -1.75299 0.00869 0.55402 0.00609 -0.59903 0.00979 -1.98115 0.00359 -3.13420 0.00846 -1.15305 0.00907
2460492.4710995 0.73660 0.00306 -0.58745 0.00393 -1.74074 0.00810 0.57721 0.00596 -0.57608 0.00926 -1.97806 0.00340 -3.13134 0.00786 -1.15329 0.00845
2460492.4740046 0.74391 0.00295 -0.57158 0.00380 -1.76618 0.00818 0.57883 0.00570 -0.61576 0.00921 -1.96883 0.00328 -3.16343 0.00795 -1.19460 0.00849
2460492.4754630 0.75448 0.00298 -0.56164 0.00379 -1.71732 0.00801 0.57595 0.00568 -0.57973 0.00906 -1.96924 0.00325 -3.12492 0.00776 -1.15568 0.00830
2460492.4769097 0.76529 0.00297 -0.55625 0.00381 -1.71753 0.00810 0.56820 0.00569 -0.59308 0.00914 -1.97444 0.00327 -3.13572 0.00787 -1.16128 0.00841
2460492.4783565 0.77346 0.00298 -0.55921 0.00383 -1.71273 0.00800 0.55385 0.00576 -0.59967 0.00908 -1.98527 0.00331 -3.13879 0.00776 -1.15352 0.00833
2460492.4798148 0.76888 0.00295 -0.55599 0.00380 -1.70612 0.00809 0.55270 0.00567 -0.59743 0.00912 -1.97660 0.00327 -3.12673 0.00786 -1.15013 0.00840
2460492.4812500 0.79493 0.00292 -0.52879 0.00378 -1.68913 0.00796 0.56297 0.00555 -0.59738 0.00894 -1.97633 0.00324 -3.13668 0.00772 -1.16034 0.00827
2460492.4827083 0.79143 0.00289 -0.53126 0.00375 -1.68981 0.00792 0.54942 0.00550 -0.60913 0.00888 -1.97388 0.00323 -3.13243 0.00768 -1.15855 0.00822
2460492.4841551 0.80448 0.00290 -0.52317 0.00377 -1.68677 0.00789 0.56079 0.00546 -0.60281 0.00883 -1.98043 0.00323 -3.14403 0.00765 -1.16360 0.00819
2460492.4856019 0.80508 0.00292 -0.52212 0.00374 -1.68025 0.00788 0.56112 0.00550 -0.59701 0.00885 -1.97997 0.00320 -3.13810 0.00764 -1.15813 0.00817
