JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 C3-K1 s8 C3-K2 s9 K1-K2 s10
Aperture: 8, Filter: L, JD: geocentric
2460492.3775810 0.81463 0.00505 1.01389 0.00515 1.11196 0.00509 -0.42708 0.00246 -0.32901 0.00231 0.92329 0.00466 1.02137 0.00459 0.57691 0.00383 0.67499 0.00374 0.09808 0.00270
2460492.3790278 0.82883 0.00486 1.02944 0.00496 1.12427 0.00490 -0.42029 0.00239 -0.32546 0.00226 0.91736 0.00441 1.01218 0.00434 0.56994 0.00361 0.66476 0.00353 0.09483 0.00260
2460492.3804745 0.84136 0.00464 1.04228 0.00473 1.14315 0.00468 -0.41949 0.00229 -0.31862 0.00219 0.92017 0.00429 1.02104 0.00424 0.56722 0.00341 0.66808 0.00334 0.10087 0.00250
2460492.3819213 0.84238 0.00430 1.04920 0.00441 1.14269 0.00437 -0.41325 0.00220 -0.31976 0.00213 0.92778 0.00399 1.02127 0.00395 0.57107 0.00322 0.66456 0.00317 0.09349 0.00241
2460492.3833681 0.84919 0.00426 1.05349 0.00436 1.15598 0.00431 -0.41785 0.00215 -0.31536 0.00204 0.92476 0.00386 1.02725 0.00380 0.57403 0.00316 0.67652 0.00309 0.10249 0.00232
2460492.3848264 0.85325 0.00396 1.05502 0.00408 1.15433 0.00402 -0.41821 0.00206 -0.31889 0.00194 0.91974 0.00364 1.01906 0.00357 0.56788 0.00300 0.66719 0.00291 0.09931 0.00224
2460492.3862731 0.86299 0.00390 1.06673 0.00400 1.16463 0.00395 -0.42162 0.00201 -0.32372 0.00191 0.93125 0.00355 1.02915 0.00350 0.57642 0.00294 0.67432 0.00287 0.09790 0.00215
2460492.3877315 0.86508 0.00393 1.07077 0.00403 1.16894 0.00398 -0.41619 0.00202 -0.31802 0.00192 0.92198 0.00363 1.02015 0.00357 0.57781 0.00288 0.67598 0.00281 0.09817 0.00219
2460492.3891782 0.87138 0.00382 1.07389 0.00392 1.17453 0.00388 -0.42016 0.00198 -0.31953 0.00189 0.92744 0.00352 1.02807 0.00347 0.57038 0.00284 0.67101 0.00278 0.10063 0.00214
2460492.3906250 0.87307 0.00374 1.07437 0.00384 1.17618 0.00380 -0.41898 0.00197 -0.31717 0.00188 0.92090 0.00346 1.02272 0.00341 0.56705 0.00281 0.66886 0.00275 0.10182 0.00211
2460492.3920718 0.86520 0.00378 1.06726 0.00388 1.16470 0.00384 -0.42062 0.00195 -0.32318 0.00188 0.92182 0.00338 1.01926 0.00334 0.57366 0.00283 0.67110 0.00277 0.09744 0.00212
2460492.3935301 0.88020 0.00373 1.07471 0.00384 1.17910 0.00380 -0.42891 0.00198 -0.32453 0.00190 0.91670 0.00338 1.02109 0.00334 0.56621 0.00285 0.67059 0.00280 0.10439 0.00214
2460492.3949769 0.86852 0.00353 1.06654 0.00362 1.17090 0.00359 -0.42515 0.00190 -0.32078 0.00183 0.91571 0.00329 1.02008 0.00325 0.57231 0.00272 0.67667 0.00267 0.10436 0.00203
2460492.3964236 0.87427 0.00354 1.07343 0.00365 1.16809 0.00362 -0.42471 0.00189 -0.33004 0.00183 0.92182 0.00330 1.01648 0.00327 0.57161 0.00272 0.66628 0.00268 0.09467 0.00206
2460492.3986343 0.87117 0.00356 1.07208 0.00367 1.17145 0.00363 -0.41954 0.00189 -0.32017 0.00182 0.92219 0.00324 1.02156 0.00320 0.56585 0.00264 0.66523 0.00260 0.09937 0.00203
2460492.4000810 0.86446 0.00347 1.07007 0.00358 1.16815 0.00355 -0.41535 0.00189 -0.31727 0.00182 0.92384 0.00320 1.02192 0.00316 0.57404 0.00266 0.67213 0.00261 0.09809 0.00205
2460492.4015394 0.85555 0.00367 1.05229 0.00379 1.16496 0.00374 -0.42390 0.00196 -0.31123 0.00186 0.91445 0.00335 1.02711 0.00329 0.56472 0.00278 0.67739 0.00271 0.11267 0.00211
2460492.4029861 0.84386 0.00356 1.04335 0.00367 1.14523 0.00363 -0.41974 0.00194 -0.31786 0.00187 0.91876 0.00340 1.02064 0.00336 0.56284 0.00275 0.66471 0.00270 0.10188 0.00211
2460492.4044329 0.84675 0.00358 1.04607 0.00369 1.14697 0.00365 -0.42223 0.00193 -0.32133 0.00186 0.91808 0.00331 1.01898 0.00327 0.56881 0.00275 0.66971 0.00270 0.10090 0.00208
2460492.4058796 0.83164 0.00355 1.02750 0.00366 1.13472 0.00362 -0.42542 0.00195 -0.31820 0.00188 0.91779 0.00336 1.02501 0.00332 0.56239 0.00280 0.66961 0.00275 0.10722 0.00211
2460492.4073264 0.83825 0.00369 1.04074 0.00379 1.14067 0.00376 -0.41908 0.00198 -0.31915 0.00192 0.92569 0.00345 1.02562 0.00341 0.56885 0.00285 0.66878 0.00281 0.09993 0.00215
2460492.4087731 0.81584 0.00359 1.01710 0.00371 1.12415 0.00366 -0.41992 0.00198 -0.31288 0.00189 0.92321 0.00347 1.03026 0.00343 0.56753 0.00279 0.67457 0.00273 0.10704 0.00214
2460492.4102199 0.79773 0.00343 0.99759 0.00355 1.09612 0.00351 -0.42101 0.00194 -0.32248 0.00187 0.91903 0.00338 1.01756 0.00334 0.56736 0.00276 0.66588 0.00272 0.09853 0.00210
2460492.4116667 0.79090 0.00355 0.99224 0.00366 1.09379 0.00362 -0.41845 0.00199 -0.31690 0.00191 0.91695 0.00342 1.01849 0.00337 0.56874 0.00282 0.67029 0.00276 0.10155 0.00214
2460492.4131134 0.76221 0.00341 0.95476 0.00355 1.06164 0.00347 -0.42917 0.00202 -0.32229 0.00189 0.91353 0.00349 1.02041 0.00342 0.56088 0.00287 0.66776 0.00277 0.10688 0.00218
2460492.4145602 0.75554 0.00352 0.95445 0.00365 1.06108 0.00360 -0.42053 0.00200 -0.31390 0.00191 0.91920 0.00344 1.02583 0.00339 0.56207 0.00283 0.66870 0.00277 0.10663 0.00217
2460492.4160069 0.75975 0.00346 0.96427 0.00358 1.06452 0.00353 -0.41663 0.00200 -0.31638 0.00191 0.92270 0.00347 1.02295 0.00342 0.57345 0.00285 0.67370 0.00279 0.10024 0.00216
2460492.4174537 0.74560 0.00327 0.94613 0.00340 1.05271 0.00335 -0.41872 0.00196 -0.31214 0.00186 0.91924 0.00337 1.02582 0.00332 0.56433 0.00277 0.67091 0.00270 0.10658 0.00211
2460492.4196412 0.76430 0.00340 0.96086 0.00353 1.06252 0.00348 -0.42427 0.00197 -0.32261 0.00188 0.91979 0.00338 1.02145 0.00334 0.56104 0.00274 0.66270 0.00268 0.10165 0.00213
2460492.4210880 0.76250 0.00349 0.96599 0.00360 1.06491 0.00355 -0.41860 0.00198 -0.31968 0.00189 0.92074 0.00350 1.01967 0.00345 0.57541 0.00284 0.67434 0.00278 0.09893 0.00214
