Stadt1	Stadt2
ALGIERS (EL DJAZAIR)	Wahran (Oran)
ALGIERS (EL DJAZAIR)	LUANDA
ALGIERS (EL DJAZAIR)	OUAGADOUGOU
ALGIERS (EL DJAZAIR)	Douala
ALGIERS (EL DJAZAIR)	YAOUNDE
ALGIERS (EL DJAZAIR)	Abidjan
ALGIERS (EL DJAZAIR)	Alexandria
ALGIERS (EL DJAZAIR)	CAIRO
ALGIERS (EL DJAZAIR)	ADDIS ABABA
ALGIERS (EL DJAZAIR)	ACCRA
ALGIERS (EL DJAZAIR)	Kumasi
ALGIERS (EL DJAZAIR)	CONAKRY
ALGIERS (EL DJAZAIR)	NAIROBI
ALGIERS (EL DJAZAIR)	ANTANANARIVO
ALGIERS (EL DJAZAIR)	BAMAKO
ALGIERS (EL DJAZAIR)	Casablanca
ALGIERS (EL DJAZAIR)	Fès
ALGIERS (EL DJAZAIR)	Kénitra
ALGIERS (EL DJAZAIR)	Marrakech
ALGIERS (EL DJAZAIR)	Tanger
ALGIERS (EL DJAZAIR)	MAPUTO
ALGIERS (EL DJAZAIR)	NIAMEY
ALGIERS (EL DJAZAIR)	DAKAR
ALGIERS (EL DJAZAIR)	FREETOWN
ALGIERS (EL DJAZAIR)	MOGADISHU
ALGIERS (EL DJAZAIR)	LOME
ALGIERS (EL DJAZAIR)	TUNIS
ALGIERS (EL DJAZAIR)	KAMPALA
ALGIERS (EL DJAZAIR)	Arusha
ALGIERS (EL DJAZAIR)	Dar es Salaam
ALGIERS (EL DJAZAIR)	LUSAKA
ALGIERS (EL DJAZAIR)	HARARE
Wahran (Oran)	LUANDA
Wahran (Oran)	OUAGADOUGOU
Wahran (Oran)	Douala
Wahran (Oran)	YAOUNDE
Wahran (Oran)	Abidjan
Wahran (Oran)	Alexandria
Wahran (Oran)	CAIRO
Wahran (Oran)	ADDIS ABABA
Wahran (Oran)	ACCRA
Wahran (Oran)	Kumasi
Wahran (Oran)	CONAKRY
Wahran (Oran)	NAIROBI
Wahran (Oran)	ANTANANARIVO
Wahran (Oran)	BAMAKO
Wahran (Oran)	Casablanca
Wahran (Oran)	Fès
Wahran (Oran)	Kénitra
Wahran (Oran)	Marrakech
Wahran (Oran)	Tanger
Wahran (Oran)	MAPUTO
Wahran (Oran)	NIAMEY
Wahran (Oran)	DAKAR
Wahran (Oran)	FREETOWN
Wahran (Oran)	MOGADISHU
Wahran (Oran)	LOME
Wahran (Oran)	TUNIS
Wahran (Oran)	KAMPALA
Wahran (Oran)	Arusha
Wahran (Oran)	Dar es Salaam
Wahran (Oran)	LUSAKA
Wahran (Oran)	HARARE
LUANDA	OUAGADOUGOU
LUANDA	Douala
LUANDA	YAOUNDE
LUANDA	Abidjan
LUANDA	Alexandria
LUANDA	CAIRO
LUANDA	ADDIS ABABA
LUANDA	ACCRA
LUANDA	Kumasi
LUANDA	CONAKRY
LUANDA	NAIROBI
LUANDA	ANTANANARIVO
LUANDA	BAMAKO
LUANDA	Casablanca
LUANDA	Fès
LUANDA	Kénitra
LUANDA	Marrakech
LUANDA	Tanger
LUANDA	MAPUTO
LUANDA	NIAMEY
LUANDA	DAKAR
LUANDA	FREETOWN
LUANDA	MOGADISHU
LUANDA	LOME
LUANDA	TUNIS
LUANDA	KAMPALA
LUANDA	Arusha
LUANDA	Dar es Salaam
LUANDA	LUSAKA
LUANDA	HARARE
OUAGADOUGOU	Douala
OUAGADOUGOU	YAOUNDE
OUAGADOUGOU	Abidjan
OUAGADOUGOU	Alexandria
OUAGADOUGOU	CAIRO
OUAGADOUGOU	ADDIS ABABA
OUAGADOUGOU	ACCRA
OUAGADOUGOU	Kumasi
OUAGADOUGOU	CONAKRY
OUAGADOUGOU	NAIROBI
OUAGADOUGOU	ANTANANARIVO
OUAGADOUGOU	BAMAKO
OUAGADOUGOU	Casablanca
OUAGADOUGOU	Fès
