Stadt1	Stadt2
ALGIERS (EL DJAZAIR)	PARIS
ALGIERS (EL DJAZAIR)	BERLIN
ALGIERS (EL DJAZAIR)	BUDAPEST
ALGIERS (EL DJAZAIR)	ROMA
ALGIERS (EL DJAZAIR)	MOSKVA
ALGIERS (EL DJAZAIR)	St. Petersburg
ALGIERS (EL DJAZAIR)	MADRID
ALGIERS (EL DJAZAIR)	KYIV
ALGIERS (EL DJAZAIR)	LONDON
LUANDA	PARIS
LUANDA	BERLIN
LUANDA	BUDAPEST
LUANDA	ROMA
LUANDA	MOSKVA
LUANDA	St. Petersburg
LUANDA	MADRID
LUANDA	KYIV
LUANDA	LONDON
Douala	PARIS
Douala	BERLIN
Douala	BUDAPEST
Douala	ROMA
Douala	MOSKVA
Douala	St. Petersburg
Douala	MADRID
Douala	KYIV
Douala	LONDON
YAOUNDE	PARIS
YAOUNDE	BERLIN
YAOUNDE	BUDAPEST
YAOUNDE	ROMA
YAOUNDE	MOSKVA
YAOUNDE	St. Petersburg
YAOUNDE	MADRID
YAOUNDE	KYIV
YAOUNDE	LONDON
Abidjan	PARIS
Abidjan	BERLIN
Abidjan	BUDAPEST
Abidjan	ROMA
Abidjan	MOSKVA
Abidjan	St. Petersburg
Abidjan	MADRID
Abidjan	KYIV
Abidjan	LONDON
Alexandria	PARIS
Alexandria	BERLIN
Alexandria	BUDAPEST
Alexandria	ROMA
Alexandria	MOSKVA
Alexandria	St. Petersburg
Alexandria	MADRID
Alexandria	KYIV
Alexandria	LONDON
CAIRO	PARIS
CAIRO	BERLIN
CAIRO	BUDAPEST
CAIRO	ROMA
CAIRO	MOSKVA
CAIRO	St. Petersburg
CAIRO	MADRID
CAIRO	KYIV
CAIRO	LONDON
ADDIS ABABA	PARIS
ADDIS ABABA	BERLIN
ADDIS ABABA	BUDAPEST
ADDIS ABABA	ROMA
ADDIS ABABA	MOSKVA
ADDIS ABABA	St. Petersburg
ADDIS ABABA	MADRID
ADDIS ABABA	KYIV
ADDIS ABABA	LONDON
NAIROBI	PARIS
NAIROBI	BERLIN
NAIROBI	BUDAPEST
NAIROBI	ROMA
NAIROBI	MOSKVA
NAIROBI	St. Petersburg
NAIROBI	MADRID
NAIROBI	KYIV
NAIROBI	LONDON
Casablanca	PARIS
Casablanca	BERLIN
Casablanca	BUDAPEST
Casablanca	ROMA
Casablanca	MOSKVA
Casablanca	St. Petersburg
Casablanca	MADRID
Casablanca	KYIV
Casablanca	LONDON
Dar es Salaam	PARIS
Dar es Salaam	BERLIN
Dar es Salaam	BUDAPEST
Dar es Salaam	ROMA
Dar es Salaam	MOSKVA
Dar es Salaam	St. Petersburg
Dar es Salaam	MADRID
Dar es Salaam	KYIV
Dar es Salaam	LONDON
