Stadt1	Stadt2	Abstand
TIRANA	Plovdiv	364.06
TIRANA	SOFIA	293.31
TIRANA	ATHINAI	466.63
TIRANA	Thessaloniki	235.57
TIRANA	Bari	212.59
TIRANA	Messina	463.23
TIRANA	Napoli	401.99
TIRANA	SKOPJE	137.28
TIRANA	BEOGRAD (BELGRADE)	391.21
TIRANA	Niš	267.09
TIRANA	Novi Sad	437.22
Graz	Linz	160.25
Graz	WIEN	143.14
Graz	ZAGREB	145.18
Graz	Brno	250.56
Graz	Ostrava	368.76
Graz	PRAHA	343.53
Graz	Augsburg	355.19
Graz	Chemnitz	455.57
Graz	Dresden	459.19
Graz	München	300.61
Graz	Nürnberg	409.36
Graz	Stuttgart	486.15
Graz	BUDAPEST	261.92
Graz	Debrecen	445.38
Graz	Györ	171.39
Graz	Miskolc	399.54
Graz	Szeged	348.83
Graz	Bologna	409.90
Graz	Firenze	473.73
Graz	Milano	481.07
Graz	Padova	315.01
Graz	Trieste	198.05
Graz	Venezia	286.89
Graz	Verona	366.14
Graz	Czestochowa	492.51
Graz	Katowice	437.75
Graz	Kraków	464.72
Graz	Sosnowiec	444.14
Graz	Wroclaw	464.61
Graz	BEOGRAD (BELGRADE)	437.77
Graz	Novi Sad	374.33
Graz	BRATISLAVA	169.55
Graz	Kosice	454.13
Graz	LJUBLJANA	131.70
Graz	Zürich	494.20
Linz	WIEN	149.57
Linz	ZAGREB	302.64
Linz	Brno	193.31
Linz	Ostrava	332.54
Linz	PRAHA	198.52
Linz	Strasbourg	468.32
Linz	Augsburg	242.30
Linz	BERLIN	473.07
Linz	Chemnitz	297.54
Linz	Dresden	307.85
Linz	Erfurt	377.73
Linz	Frankfurt am Main	448.22
Linz	Freiburg im Breisgau	461.52
Linz	Halle (Saale)	390.40
Linz	Karlsruhe	427.79
Linz	Kassel	479.25
Linz	Leipzig	364.37
Linz	Magdeburg	465.94
Linz	Mainz	469.31
Linz	Mannheim	436.42
Linz	München	194.73
Linz	Nürnberg	262.61
Linz	Stuttgart	368.86
Linz	Wiesbaden	475.25
Linz	BUDAPEST	351.61
Linz	Györ	249.11
Linz	Miskolc	465.58
Linz	Szeged	477.31
Linz	Bologna	473.62
Linz	Milano	482.28
Linz	Padova	365.80
Linz	Trieste	297.89
Linz	Venezia	348.45
Linz	Verona	396.63
Linz	Czestochowa	444.17
Linz	Katowice	402.41
Linz	Kraków	451.98
Linz	Poznan	493.11
Linz	Sosnowiec	410.29
Linz	Wroclaw	368.22
Linz	BRATISLAVA	202.58
Linz	Kosice	499.99
Linz	LJUBLJANA	251.58
Linz	Bâle	486.11
Linz	Luzern	449.87
Linz	Zürich	423.63
WIEN	ZAGREB	268.08
WIEN	Brno	110.83
WIEN	Ostrava	226.75
WIEN	PRAHA	251.41
WIEN	Augsburg	391.77
WIEN	Chemnitz	382.15
WIEN	Dresden	368.05
WIEN	Erfurt	490.91
WIEN	Halle (Saale)	481.52
WIEN	Leipzig	450.82
WIEN	München	343.09
WIEN	Nürnberg	403.19
WIEN	BUDAPEST	206.48
WIEN	Debrecen	383.11
WIEN	Györ	107.25
WIEN	Miskolc	316.08
WIEN	Szeged	346.67
WIEN	Padova	447.93
WIEN	Trieste	340.13
WIEN	Venezia	422.47
WIEN	Verona	492.97
WIEN	Czestochowa	350.00
WIEN	Katowice	296.67
WIEN	Kraków	330.21
WIEN	Lódz	453.51
WIEN	Poznan	468.24
WIEN	Radom	494.74
WIEN	Sosnowiec	303.41
WIEN	Wroclaw	327.64
WIEN	BEOGRAD (BELGRADE)	477.17
WIEN	Novi Sad	411.93
WIEN	BRATISLAVA	53.06
WIEN	Kosice	353.29
WIEN	LJUBLJANA	274.78
Bobruisk	Brest	413.23
Bobruisk	Gomel	150.77
Bobruisk	Grodno	390.29
Bobruisk	MINSK	145.94
Bobruisk	Mogilev	201.57
Bobruisk	Vitebsk	238.45
Bobruisk	Kaunas	427.74
Bobruisk	VILNIUS	330.19
Bobruisk	Bialystok	434.80
Bobruisk	Bryansk	367.58
Bobruisk	Orel	489.53
Bobruisk	Smolensk	271.61
Bobruisk	Bila Tserkva	377.20
Bobruisk	Cherkasy	458.88
Bobruisk	Chernihiv	236.06
Bobruisk	Khmilnyk	409.77
Bobruisk	KYIV	313.93
Bobruisk	Luts'k	386.56
Bobruisk	Rivne	352.57
Bobruisk	Sumy	469.75
Bobruisk	Ternopil	476.63
Bobruisk	Vinnitsa	438.89
Bobruisk	Zhytomyr	323.59
Brest	Grodno	177.26
Brest	MINSK	342.56
Brest	Ostrava	460.93
Brest	Miskolc	490.02
Brest	Kaunas	312.53
Brest	VILNIUS	310.42
Brest	Bialystok	121.32
Brest	Bydgoszcz	422.28
Brest	Czestochowa	356.07
Brest	Gdansk	439.07
Brest	Gdynia	459.76
Brest	Katowice	390.96
Brest	Kraków	348.47
Brest	Lódz	304.47
Brest	Lublin	126.61
Brest	Poznan	484.93
Brest	Radom	195.56
Brest	Sosnowiec	383.03
Brest	WARSZAWA	192.13
Brest	Wroclaw	491.49
Brest	Kaliningrad	369.22
Brest	Kosice	414.19
Brest	Chernivtsi	453.32
Brest	Ivano-Frankivsk	360.49
Brest	Khmilnyk	415.59
Brest	Luts'k	190.25
Brest	Lviv	251.85
Brest	Rivne	246.14
Brest	Ternopil	313.65
Brest	Vinnitsa	467.32
