Stadt1	Stadt2
WIEN	MINSK
WIEN	BRUSSEL
WIEN	SOFIA
WIEN	PRAHA
WIEN	Lille
WIEN	Lyon
WIEN	Marseille
WIEN	PARIS
WIEN	BERLIN
WIEN	Hamburg
WIEN	Köln
WIEN	München
WIEN	BUDAPEST
WIEN	Milano
WIEN	ROMA
WIEN	WARSZAWA
WIEN	BUCURESTI
WIEN	Chelyabinsk
WIEN	Ekaterinburg
WIEN	Kazan
WIEN	Krasnoyarsk
WIEN	MOSKVA
WIEN	Nizhny Novgorod
WIEN	Novosibirsk
WIEN	Omsk
WIEN	Perm
WIEN	Rostov-na-Donu
WIEN	Samara
WIEN	St. Petersburg
WIEN	Ufa
WIEN	Volgograd
WIEN	BEOGRAD (BELGRADE)
WIEN	Barcelona
WIEN	MADRID
WIEN	Zürich
WIEN	Kharkiv
WIEN	KYIV
WIEN	Birmingham
WIEN	Glasgow
WIEN	LONDON
MINSK	BRUSSEL
MINSK	SOFIA
MINSK	PRAHA
MINSK	Lille
MINSK	Lyon
MINSK	Marseille
MINSK	PARIS
MINSK	BERLIN
MINSK	Hamburg
MINSK	Köln
MINSK	München
MINSK	BUDAPEST
MINSK	Milano
MINSK	ROMA
MINSK	WARSZAWA
MINSK	BUCURESTI
MINSK	Chelyabinsk
MINSK	Ekaterinburg
MINSK	Kazan
MINSK	Krasnoyarsk
MINSK	MOSKVA
MINSK	Nizhny Novgorod
MINSK	Novosibirsk
MINSK	Omsk
MINSK	Perm
MINSK	Rostov-na-Donu
MINSK	Samara
MINSK	St. Petersburg
MINSK	Ufa
MINSK	Volgograd
MINSK	BEOGRAD (BELGRADE)
MINSK	Barcelona
MINSK	MADRID
MINSK	Zürich
MINSK	Kharkiv
MINSK	KYIV
MINSK	Birmingham
MINSK	Glasgow
MINSK	LONDON
BRUSSEL	SOFIA
BRUSSEL	PRAHA
BRUSSEL	Lille
BRUSSEL	Lyon
BRUSSEL	Marseille
BRUSSEL	PARIS
BRUSSEL	BERLIN
BRUSSEL	Hamburg
BRUSSEL	Köln
BRUSSEL	München
BRUSSEL	BUDAPEST
BRUSSEL	Milano
BRUSSEL	ROMA
BRUSSEL	WARSZAWA
BRUSSEL	BUCURESTI
BRUSSEL	Chelyabinsk
BRUSSEL	Ekaterinburg
BRUSSEL	Kazan
BRUSSEL	Krasnoyarsk
BRUSSEL	MOSKVA
BRUSSEL	Nizhny Novgorod
BRUSSEL	Novosibirsk
BRUSSEL	Omsk
BRUSSEL	Perm
BRUSSEL	Rostov-na-Donu
BRUSSEL	Samara
BRUSSEL	St. Petersburg
BRUSSEL	Ufa
BRUSSEL	Volgograd
BRUSSEL	BEOGRAD (BELGRADE)
BRUSSEL	Barcelona
BRUSSEL	MADRID
BRUSSEL	Zürich
BRUSSEL	Kharkiv
BRUSSEL	KYIV
BRUSSEL	Birmingham
BRUSSEL	Glasgow
BRUSSEL	LONDON
SOFIA	PRAHA
SOFIA	Lille
SOFIA	Lyon
SOFIA	Marseille
SOFIA	PARIS
SOFIA	BERLIN
SOFIA	Hamburg
