Stadt	Einwohner	Land	Breitengrad	Laengengrad
Adrar	200834.0	Algeria	26.4888155	-1.3582442169365363
Ain Defla	450280.0	Algeria	36.15868425	2.084281730358365
Ain Temouchent	299341.0	Algeria	35.26665705	-1.1499276224075037
ALGIERS (EL DJAZAIR)	2712944.0	Algeria	36.7753606	3.0601882
Annaba	442230.0	Algeria	36.8982165	7.7549272
Batna	768444.0	Algeria	35.3384291	5.731545299000572
Béchar	236213.0	Algeria	31.385726	-2.011595847987405
Bejaïa	559981.0	Algeria	36.7511783	5.0643687
Beskra (Biskra)	563245.0	Algeria	34.784563500000004	5.812435334419206
Bordj Bou Arreridj	422986.0	Algeria	36.095506	4.661100173631754
Bouira	372196.0	Algeria	36.2316481	3.9082579191011257
Boumerdes	459250.0	Algeria	36.7560385	3.478740682590106
Chlef	521070.0	Algeria	36.203419999999994	1.2680696005416272
El Bayadh	192958.0	Algeria	32.570302999999996	1.1259581442818078
Blida	719515.0	Algeria	36.4701645	2.8287985
El Djelfa	825411.0	Algeria	34.342841	3.217253079090331
El Oued	495573.0	Algeria	33.215441	7.155321399098326
El Tarf	230157.0	Algeria	36.67135625	8.070134002053635
Ghardaïa	355701.0	Algeria	32.440827	3.5618208521628776
Relizane	432386.0	Algeria	35.836318500000004	0.9118537366540664
Guelma	363716.0	Algeria	36.3491635	7.409498952760461
Jijel	391096.0	Algeria	36.72921875	5.960777606253644
Khenchela	288849.0	Algeria	34.913345500000005	6.905943093880865
Laghouat	371204.0	Algeria	33.750440499999996	2.6431093610595155
Médéa	519383.0	Algeria	35.975204500000004	3.012350405608216
Mostaganem	338143.0	Algeria	36.0026915	0.3686866818796205
Mila	440735.0	Algeria	36.2502135	6.165216333385166
Mascara	513432.0	Algeria	35.397838500000006	0.24301949927219488
M'Sila	666848.0	Algeria	35.1300205	4.200310671358427
Naama	160381.0	Algeria	33.2336851	-0.8151958390775952
Oum El Bouaghi	467997.0	Algeria	35.8105805	7.018417796577514
Qacentina (Constantine)	717646.0	Algeria	36.364519	6.60826
Saïda	248939.0	Algeria	34.743349	0.2440763627808458
Sidi-bel-Abbès	517836.0	Algeria	34.682268	-0.43575550651239253
Skikda	543402.0	Algeria	36.75451150000001	6.885625492591183
Souq Ahras	308319.0	Algeria	36.284832	7.9515466
Sétif	856457.0	Algeria	36.1892751	5.403493
Tamanrasset	136822.0	Algeria	24.3753438	4.3208436
Tbessa (Tébessa)	515786.0	Algeria	35.4035956	8.1212322
Tihert (Tiaret)	637991.0	Algeria	35.3661448	1.3194687
