Stadt	Einwohner	Land	Breitengrad	Laengengrad
Bagalan	110902.0	Afghanistan	39.5108788	27.7501153
Balkh	415053.0	Afghanistan	36.7581256	66.8980826
Herat	491967.0	Afghanistan	34.3508273	62.2164003
KABUL	3817241.0	Afghanistan	34.5260109	69.1776838
Kandhar	448262.0	Afghanistan	33.8877	46.8756
Kunduz	162168.0	Afghanistan	36.8707187	68.7563528
Nangarhar	232901.0	Afghanistan	34.220389	70.3800314
Gyumri	115231.0	Armenia	40.7852085	43.8416095
YEREVAN	1076716.0	Armenia	40.1776121	44.5125849
BAKU	2254175.0	Azerbaijan	40.3754434	49.8326748
Ganja	331986.0	Azerbaijan	40.6794747	46.3564509
Sumgayit	340091.0	Azerbaijan	40.5961666	49.6695971
MANAMA	176909.0	Bahrain	26.2235041	50.5822436
Barisal	339308.0	Bangladesh	22.41999135	90.42607921713835
Chittagong	2591681.0	Bangladesh	22.3307998	91.8412863
Comilla	296010.0	Bangladesh	23.4610615	91.1808748
DHAKA	8906035.0	Bangladesh	23.7593572	90.3788136
Khulna	664728.0	Bangladesh	22.815139549999998	89.44492672055918
Mymensingh	389918.0	Bangladesh	24.8386014	90.41126950462677
Narayanganj	286330.0	Bangladesh	23.6238108	90.4999662
Rajshahi	449756.0	Bangladesh	24.5390275	88.93844161614119
Saidpur	133433.0	Bangladesh	25.7839804	88.8940577
THIMPHU	114551.0	Bhutan	27.4727617	89.629548
BANDAR SERI BEGAWAN	27285.0	Brunei Darussalam	4.8895453	114.9417574
Bat Dambang	1126345.01046136	Cambodia	13.0998526	103.1966659
PHNOM PENH	1570790.86456886	Cambodia	11.568271	104.9224426
Siem Reap	999702.896669649	Cambodia	13.3617562	103.8590321
BEIJING (PEKING)	18796000.0	China	39.906217	116.3912757
HONG KONG	7451000.0	Hong Kong	22.2793278	114.1628131
MACAO	650834.0	Macao	39.554608	-7.9957035
LEFKOSIA	244200.0	Cyprus	35.1739302	33.364726
Lemesos	182600.0	Cyprus	34.6852901	33.0332657
Anju	167646.0	North Korea	39.6173686	125.6611381
Chongjin	614892.0	North Korea	41.7829291	129.7825241
Haeju	241599.0	North Korea	38.0401144	125.7140086
Hamhung	614198.0	North Korea	39.915463	127.5439794
Huichon	136093.0	North Korea	40.171279	126.2760271
Hyesan	174015.0	North Korea	41.4029448	128.1778371
Jongju	102659.0	North Korea	39.6890547	125.2088916
Kaechon	262389.0	North Korea	39.6730979	125.95369384758865
Kaesong	192578.0	North Korea	37.9716991	126.5527573
Kanggye	251971.0	North Korea	40.9659004	126.5975399
Kim Chaek	155284.0	North Korea	39.00486735	125.74523516474605
Kusong	155181.0	North Korea	39.9792248	125.252058
Nam pho	310864.0	North Korea	38.7367448	125.4115285
Pyongsong	236583.0	North Korea	39.3171544	125.8582477187533
PYONGYANG	2581076.0	North Korea	39.0194741	125.753388
Rason	158337.0	North Korea	42.2497316	130.3113296
Sariwon	271434.0	North Korea	38.4993705	125.7608695
Sinpho	130951.0	North Korea	40.0105359	128.18673213789023
Sinuiju	334031.0	North Korea	40.0940758	124.3977559
Sunchon	250738.0	North Korea	39.466895	125.94660780587502
Tanchon	240873.0	North Korea	40.4590505	128.9038646
Tokchon	210571.0	North Korea	39.7596882	126.30276512643161
Wonsan	328467.0	North Korea	39.1532956	127.453564
Batumi	155000.0	Georgia	41.6509502	41.6360085
Kutaisi	147500.0	Georgia	42.2716455	42.705359
Rustavi	126200.0	Georgia	41.54309	45.0112804
TBILISI	1113800.0	Georgia	41.6934591	44.8014495
Abohar	145302.0	India	30.1450543	74.1956597
