Stadt	Einwohner	Land	Breitengrad	Laengengrad
MARIEHAMN	11709.0	Åland Islands	60.102423	19.94126
Durrës	113249.0	Albania	41.423321	19.538832109202325
TIRANA	418495.0	Albania	41.3268733	19.8187913
ANDORRA LA VELLA	22205.0	Andorra	42.5069391	1.5212467
Graz	286292.0	Austria	47.0708678	15.4382786
Innsbruck	132493.0	Austria	47.26951525	11.397137204221064
Klagenfurt	100369.0	Austria	46.6228162	14.3079604
Linz	204846.0	Austria	48.3059078	14.286198
Salzburg	153377.0	Austria	47.7981346	13.0464806
WIEN	1888776.0	Austria	48.2083537	16.3725042
Baranovichi	179166.0	Belarus	53.1322925	26.0184156
Bobruisk	217546.0	Belarus	53.1449683	29.2281209
Borisov	143051.0	Belarus	54.2240665	28.5117849
Brest	347576.0	Belarus	52.093751	23.6851851
Gomel	535693.0	Belarus	52.4238936	31.0131698
Grodno	370919.0	Belarus	53.6834599	23.8342648
Lida	101616.0	Belarus	53.8949515	25.295719
MINSK	1982444.0	Belarus	53.902334	27.5618791
Mogilev	381353.0	Belarus	53.60664785	31.954191372509115
Mozir	111733.0	Belarus	52.0475464	29.2667179
Novopolotsk	107479.0	Belarus	55.5347704	28.645089
Orsha	115052.0	Belarus	54.5119008	30.4254486
Pinsk	137961.0	Belarus	52.1113612	26.102377
Soligorsk	106627.0	Belarus	52.7893039	27.5318168
Vitebsk	377932.0	Belarus	55.1930197	30.2070437
Anderlecht	108940.0	Belgium	50.8390983	4.3296526
Antwerpen (Anvers)	718730.0	Belgium	51.2211097	4.3997081
Brugge	117260.0	Belgium	51.2085526	3.226772
BRUSSEL	1550299.0	Belgium	50.8465573	4.351697
Charleroi	291806.0	Belgium	50.4120332	4.4436244
Gent (Gand)	280151.0	Belgium	51.099884349999996	3.739013449056724
Liège (Luik)	491767.0	Belgium	50.6451381	5.5734203
Namur	110175.0	Belgium	50.4665284	4.8661892
Schaerbeek	127525.0	Belgium	50.8676041	4.3737121
Burgas	202694.0	Bulgaria	42.446600000000004	27.20620689265119
Plovdiv	345213.0	Bulgaria	42.1418541	24.7499297
Ruse	144125.0	Bulgaria	43.8480413	25.9542057
SOFIA	1238438.0	Bulgaria	42.6978634	23.3221789
Stara Zagora	136307.0	Bulgaria	42.4247421	25.6257235
Varna	335854.0	Bulgaria	43.2069025	27.9150855
Osijek	108048.0	Croatia	45.5548753	18.6953593
Rijeka	128624.0	Croatia	45.3271752	14.4412309
Split	178102.0	Croatia	43.5116383	16.4399659
ZAGREB	790017.0	Croatia	45.813177	15.977048
Brno	379527.0	Czechia	49.1922443	16.6113382
Liberec	103979.0	Czechia	50.7702648	15.0583947
Olomouc	100494.0	Czechia	49.5940567	17.251143
Ostrava	290450.0	Czechia	49.8349139	18.2820084
Plzen	170936.0	Czechia	49.7477415	13.3775249
PRAHA	1294513.0	Czechia	50.0874654	14.4212535
Ålborg	213271.0	Denmark	57.0462626	9.9215263
Århus	341497.0	Denmark	56.1496278	10.2134046
Esbjerg	116061.0	Denmark	55.4664892	8.4520751
Frederiksberg	103914.0	Denmark	55.678016	12.5326186
KOBENHAVN	616098.0	Denmark	55.6867243	12.5700724
Odense	202663.0	Denmark	55.3997225	10.3852104
Vejle	114464.0	Denmark	55.7000057	9.5333238
TALLINN	430805.0	Estonia	59.4372155	24.7453688
TÓRSHAVN	19600.0	Faeroe Islands	62.012	-6.768
Espoo	276814.0	Finland	60.2241869	24.6603626
HELSINKI	639227.0	Finland	60.1674098	24.9425769
Jyvaskyla	139519.0	Finland	62.2393002	25.745951
Kuopio	117975.0	Finland	62.8241424	27.594561484488977
Lahti	119513.0	Finland	60.9838761	25.6561814
Oulu	201168.0	Finland	65.0118734	25.4716809
Tampere	230064.0	Finland	61.4980214	23.7603118
Turku	188637.0	Finland	60.4517531	22.2670522
Vantaa	221184.0	Finland	60.3091871	25.0364526
Aix-en-Provence	142668.0	France	43.5298424	5.4474738
Amiens	162637.0	France	49.8941708	2.2956951
Angers	225978.0	France	47.4739884	-0.5515588
Argenteuil	110388.0	France	48.9479069	2.2481797
Besançon	135448.0	France	47.2380222	6.0243622
Bordeaux	904359.0	France	44.841225	-0.5800364
Boulogne-Billancourt	117931.0	France	48.8356649	2.240206
Brest	200530.0	France	48.3905283	-4.4860088
Caen	198639.0	France	49.1828008	-0.3690815
Clermont-Ferrand	265892.0	France	45.7774551	3.0819427
Dijon	243244.0	France	47.3215806	5.0414701
Grenoble	512591.0	France	45.1875602	5.7357819
Le Havre	237578.0	France	49.4938975	0.1079732
Le Mans	210018.0	France	48.0073498	0.1967379
Lille	1039397.0	France	50.6365654	3.0635282
Limoges	183347.0	France	45.8354243	1.2644847
Lyon	1639558.0	France	45.7578137	4.8320114
