Stadt	Einwohner	Land	Breitengrad	Laengengrad
PAGO PAGO	3656.0	American Samoa	-14.2754786	-170.7048298
Adelaide	1315522.0	Australia	-34.9281805	138.5999312
Ballarat	105438.0	Australia	-37.5622632	143.8607215
Brisbane	2331913.0	Australia	-27.4689682	153.0234991
Cairns	163814.0	Australia	-16.9206657	145.7721854
CANBERRA	411667.0	Australia	-35.2975906	149.1012676
Canberra-Queanbeyan	470438.0	Australia	-35.302878750000005	149.19180056325803
Central Coast	339196.0	Australia	-33.3117096	151.312067495083
Darwin	134802.0	Australia	-12.46044	130.8410469
Geelong	261208.0	Australia	-38.1492813	144.3598269
Gold Coast	606291.0	Australia	-28.0023731	153.4145987
Gold Coast-Tweed Heads	686213.0	Australia	-28.164853	153.5081045532748
Greater Adelaide	1334167.0	Australia	-34.875476750000004	138.5514124486152
Greater Brisbane	2413457.0	Australia	-27.5391241	153.21613397848077
Greater Darwin	148884.0	Australia	-37.9591655	145.201719
Greater Hobart	229088.0	Australia	-42.8825088	147.3281233
Greater Melbourne	4843781.0	Australia	-37.9504939	145.36785627371626
Greater Perth	2039041.0	Australia	-38.177588	144.3471538
Greater Sydney	5132355.0	Australia	-33.8991083	150.9920731
Hobart	210338.0	Australia	-42.8825088	147.3281233
Melbourne	4670461.0	Australia	-37.8142176	144.9631608
Newcastle	171145.0	Australia	-32.9272881	151.7812534
Newcastle-Maitland	480422.0	Australia	-32.84815395	151.739729559677
Perth	2000767.0	Australia	-31.9527121	115.8604796
Sunshine Coast	311211.0	Australia	-26.5443222	153.0507705
Sydney	4741249.0	Australia	-33.8548157	151.2164539
Toowoomba	166045.0	Australia	-27.5610193	151.953351
Townsville	192988.0	Australia	-19.2569391	146.8239537
Wollongong	298431.0	Australia	-34.4243941	150.89385
RAROTONGA	13044.0	Cook Islands	-21.247552849999998	-159.77610904284523
SUVA	74481.0	Fiji	-18.1415884	178.4421662
PAPEETE	25763.0	French Polynesia	-17.5373835	-149.5659964
AGANA	1051.0	Guam	13.4727446	144.75201822544284
TARAWA	63017.0	Kiribati	1.4845541999999998	172.96896482000938
MAJURO	27797.0	Marshall Islands	7.0909924	171.3816354
PALIKIR	6227.0	Micronesia	6.920744	158.1627143
NOUMEA	99926.0	New Caledonia	-22.2745264	166.442419
Auckland	1695900.0	New Zealand	-36.852095	174.7631803
Christchurch	404600.0	New Zealand	-43.530955	172.6366455
Dunedin	130700.0	New Zealand	-45.8740984	170.5035755
Hamilton	241200.0	New Zealand	-37.7878809	175.281788
Lower Hutt	105900.0	New Zealand	-41.2125751	174.9057626
Napier-Hastings	134500.0	New Zealand	-39.6632876	176.883463
Tauranga	141600.0	New Zealand	-37.6859006	176.167505
WELLINGTON	418500.0	New Zealand	-41.2887953	174.7772114
ALOFI	639.0	Niue	-19.0534159	-169.9191992
GARAPAN	3983.0	Northern Mariana Islands	15.2058119	145.71834300793975
KOROR	11754.0	Palau	7.343275	134.4766767
PORT MORESBY	364125.0	Papua New Guinea	-9.4743301	147.1599504
ADAMSTOWN	49.0	Pitcairn	-25.066667	-130.1002054
APIA	37391.0	Samoa	-13.8343691	-171.7692793
HONIARA	80082.0	Solomon Islands	-9.4310769	159.9552552
NUKU'ALOFA	35184.0	Tonga	-21.1343401	-175.2018085
FUNAFUTI	6152.0	Tuvalu	-8.534994650000002	179.11864963425245
PORT VILA	44039.0	Vanuatu	-17.7414972	168.3150163
MATA-UTU	1126.0	Wallis and Futuna	-13.2820419	-176.1740224
