Stadt	Einwohner	Land	Breitengrad	Laengengrad
Bahía Blanca-Cerri	308922.0	Argentina	-38.7215809	-62.2545689
Bariloche	158989.0	Argentina	-41.1334421	-71.3098425
BUENOS AIRES	13879707.0	Argentina	-34.6075682	-58.4370894
Catamarca	213186.0	Argentina	-27.1910825	-67.105374
Comodoro Rivadavia-Rada Tilly	218596.0	Argentina	-45.9356932	-67.5696113
Concordia	161990.0	Argentina	-31.3972539	-58.0173305
Córdoba	1525490.0	Argentina	-31.4173391	-64.183319
Corrientes	386379.0	Argentina	-28.5912315	-57.9394658
Formosa	260788.0	Argentina	-24.5955306	-60.4289718
La Plata	843851.0	Argentina	-34.9206797	-57.9537638
La Rioja	207085.0	Argentina	-29.9729781	-67.0487944
Mar del Plata-Batán	641065.0	Argentina	-2.902621	-79.0232965
Mendoza	1094209.0	Argentina	-34.78719615	-68.43807123826872
Neuquén-Plottier	314478.0	Argentina	-38.95110215	-68.15447784483018
Paraná	276125.0	Argentina	-31.7330145	-60.5298511
Posadas	358832.0	Argentina	-27.3664824	-55.894295
Rawson-Trelew	139698.0	Argentina	-43.2651977	-65.345227
Resistencia	412445.0	Argentina	-27.4511235	-58.9865196
Río Cuarto	173807.0	Argentina	-33.1237585	-64.3489782
Rio Gallegos	112455.0	Argentina	-51.6232352	-69.2158996
Rosario	1444436.0	Argentina	-32.9595004	-60.6615415
Salta	634644.0	Argentina	-25.1076701	-64.3494964
San Juan	520430.0	Argentina	-30.7054363	-69.1988222
San Luis - El Chorrillo	221410.0	Argentina	-33.2914135	-66.2975535
San Nicolás-Villa Constitución	190447.0	Argentina	-33.4305755	-60.6287954
San Salvador de Jujuy-Palpalá	341634.0	Argentina	-24.2731627	-65.2124685
Santa Fé	534341.0	Argentina	-30.3154739	-61.1645076
Santa Rosa-Toay	127055.0	Argentina	-36.6368833	-64.3033554
Santiago del Estero-La Banda	410083.0	Argentina	-34.6332104	-58.7434263
Tucumán-Tafí Viejo	873873.0	Argentina	-26.7417847	-65.2580725
Ushuaia-Río Grande	139989.0	Argentina	-53.7732356	-67.7067249
Cochabamba	618376.395435085	Bolivia	-17.3935853	-66.1569588
El Alto	953253.083500101	Bolivia	-16.5048228	-68.1624337
LA PAZ	835361.03527057	Bolivia	-16.4955455	-68.1336229
Oruro	216723.94486692	Bolivia	-18.666667	-67.666667
Potosí	154693.31187481	Bolivia	-20.666667	-66.666667
Sacaba	155667.626656472	Bolivia	-17.4038385	-66.0402708
Santa Cruz	1616062.80790088	Bolivia	-17.333333	-61.5
SUCRE	284032.46973283	Bolivia	-19.0477251	-65.2594306
Tarija	194313.116657503	Bolivia	-21.583333	-63.833333
Yacuiba	112095.957587932	Bolivia	-22.0136146	-63.677608
Abaetetuba	151934.0	Brazil	-1.721828	-48.878843
Açailândia	110543.0	Brazil	-4.9514278	-47.4844564
Aguas Lindas de Goiás	191499.0	Brazil	-15.7392283	-48.2793357
Alagoinhas	155362.0	Brazil	-12.133526	-38.420772
Almirante Tamandaré	114129.0	Brazil	-25.3133048	-49.2997838
Altamira	109938.0	Brazil	-3.204065	-52.209961
Alvorada	207392.0	Brazil	-29.9981184	-51.0772509
Americana	231621.0	Brazil	-22.7392463	-47.3306032
Ananindeua	510834.0	Brazil	-1.374035	-48.4016623
Anápolis	370875.0	Brazil	-16.3332828	-48.9525756
Angra dos Reis	191504.0	Brazil	-23.0063966	-44.316326
Aparecida de Goiania	532135.0	Brazil	-16.8226769	-49.2452546
Apucarana	131571.0	Brazil	-23.5525327	-51.4610764
Aracaju	641523.0	Brazil	-10.9162061	-37.0774655
Araçatuba	193828.0	Brazil	-21.207992	-50.4390225
Araguaina	173112.0	Brazil	-7.193241	-48.2018597
Araguari	116871.0	Brazil	-18.6511256	-48.1933764
Arapiraca	232671.0	Brazil	-9.754866	-36.661471
Arapongas	116960.0	Brazil	-23.415296	-51.42592
Araraquara	228664.0	Brazil	-21.7886713	-48.1773096
Araras	130102.0	Brazil	-22.3569477	-47.3838889
Araruama	124940.0	Brazil	-22.8733203	-42.3428897
Araucária	135459.0	Brazil	-25.5861107	-49.4051209
Araxá	103287.0	Brazil	-19.5928536	-46.940241
Ariquemes	105896.0	Brazil	-9.9076522	-63.033069
Assis	102268.0	Brazil	-22.6620892	-50.420623
Atibaia	138449.0	Brazil	-23.1177393	-46.5547861
Bacabal	103020.0	Brazil	-4.2318132	-44.781167
Bagé	121986.0	Brazil	-31.3314264	-54.1062808
Balneário Camboriú	131727.0	Brazil	-26.9924395	-48.6339782
Barbacena	135829.0	Brazil	-21.2254524	-43.7735087
Barcarena	118537.0	Brazil	-1.5107945	-48.6190679
Barra Mansa	180126.0	Brazil	-22.5394843	-44.1735129
Barreiras	155519.0	Brazil	-12.1440031	-44.9967406
Barretos	119948.0	Brazil	-20.5531437	-48.5697509
Barueri	264935.0	Brazil	-23.5112184	-46.8764612
Bauru	369368.0	Brazil	-22.3218102	-49.0705863
Belém	1446042.0	Brazil	-1.45056	-48.4682453
Belford Roxo	494141.0	Brazil	-22.7667284	-43.4033603
Belo Horizonte	2513451.0	Brazil	-19.9227318	-43.9450948
Bento Gonçalves	114203.0	Brazil	-29.1654014	-51.5197627
Betim	422354.0	Brazil	-19.968056	-44.198333
Birigui	119536.0	Brazil	-21.2908491	-50.34144
Blumenau	343715.0	Brazil	-26.9195567	-49.0658025
Boa Vista	326419.0	Brazil	2.8208478	-60.6719582
Botucatu	141032.0	Brazil	-22.8879628	-48.4410712
Bragança	122881.0	Brazil	-1.0573967	-46.7635406
Bragança Paulista	162435.0	Brazil	-22.9520235	-46.5418586
BRASILIA	2977216.0	Brazil	-10.3333333	-53.2
Brusque	125810.0	Brazil	-27.0964628	-48.9136323
Cabo de Santo Agostinho	202636.0	Brazil	-8.2838945	-35.0320984
Cabo Frio	212289.0	Brazil	-22.8804369	-42.0189227
Cachoeirinha	126666.0	Brazil	-29.9493353	-51.0898927
Cachoeiro de Itapemirim	210325.0	Brazil	-20.848084	-41.11129
Camacari	292074.0	Brazil	-12.6998188	-38.3260762
Camaragibe	155228.0	Brazil	-8.0213832	-34.9810768
Cambé	104592.0	Brazil	-23.2782035	-51.2779583
Cametá	132515.0	Brazil	-2.242949	-49.497885
Campina Grande	407754.0	Brazil	-7.2246743	-35.8771292
Campinas	1173370.0	Brazil	-22.90556	-47.06083
Campo Grande	863982.0	Brazil	-20.4640173	-54.6162947
Campo Largo	125719.0	Brazil	-25.4597726	-49.5270851
Campos dos Goytacazes	487186.0	Brazil	-21.7558619	-41.3326895
Canoas	342634.0	Brazil	-29.9216045	-51.1799525
Caraguatatuba	115071.0	Brazil	-23.62028	-45.41306
Carapicuíba	394465.0	Brazil	-23.5234673	-46.8406808
Cariacica	384621.0	Brazil	-20.263202	-40.416549
Caruaru	351686.0	Brazil	-8.2829702	-35.9722852
Cascavel	316226.0	Brazil	-24.9554996	-53.4560544
Castanhal	192571.0	Brazil	-1.2927031	-47.9223903
Catalão	100590.0	Brazil	-18.1702546	-47.9447082
Catanduva	120092.0	Brazil	-21.1331035	-48.9712817
Caucaia	358164.0	Brazil	-3.7300563	-38.6593082
Caxias	161926.0	Brazil	-29.1684796	-51.1793861
Caxias do Sul	479236.0	Brazil	-29.1684796	-51.1793861
Chapecó	209553.0	Brazil	-27.0922364	-52.6166878
Codo	120548.0	Brazil	-4.455623	-43.892354
Colatina	123598.0	Brazil	-19.5346732	-40.6287836
Colombo	234941.0	Brazil	-25.2925439	-49.2243472
Conselheiro Lafaiete	126420.0	Brazil	-20.6596107	-43.785743
Contagem	653800.0	Brazil	-19.9132749	-44.0840953
Coronel Fabriciano	109857.0	Brazil	-19.5200067	-42.6282686
Corumbá	109294.0	Brazil	-19.0016365	-57.6534316
Cotia	233696.0	Brazil	-23.603889	-46.918889
Crato	129662.0	Brazil	-7.2369112	-39.4149236
Criciúma	209153.0	Brazil	-28.6789941	-49.3695627
Cubatao	127887.0	Brazil	-23.8857982	-46.4241869
Cuiabá	585367.0	Brazil	-15.5986686	-56.0991301
Curitiba	1893997.0	Brazil	-25.4295963	-49.2712724
Diadema	415180.0	Brazil	-23.681347	-46.62052
Divinópolis	232945.0	Brazil	-20.1434559	-44.89125
Dourados	215486.0	Brazil	-22.2206145	-54.812208
Duque de Caxias	886917.0	Brazil	-22.7896225	-43.309929
Embu	264448.0	Brazil	-23.6495294	-46.8528497
Erechim	102906.0	Brazil	-27.6350143	-52.2737288
Eunápolis	114275.0	Brazil	-16.3722412	-39.575704
Feira de Santana	622639.0	Brazil	-12.2578934	-38.9598047
Ferraz de Vasconcelos	186808.0	Brazil	-23.541056	-46.37097
Florianópolis	477798.0	Brazil	-27.5973002	-48.5496098
Formosa	114036.0	Brazil	-15.5492443	-47.3301212
Fortaleza	2609716.0	Brazil	-3.7304512	-38.5217989
Foz do Iguaçu	263915.0	Brazil	-25.5401479	-54.5858139
Franca	344704.0	Brazil	-20.5381768	-47.4009795
Francisco Morato	169942.0	Brazil	-23.2817308	-46.7448996
Franco da Rocha	147650.0	Brazil	-23.3328038	-46.724446
Garanhuns	137810.0	Brazil	-8.8905889	-36.4930896
Goiânia	1448639.0	Brazil	-16.680882	-49.2532691
Governador Valadares	279665.0	Brazil	-18.8539497	-41.9458753
Gravatai	273742.0	Brazil	-29.9440222	-50.9930938
Guarapari	121506.0	Brazil	-20.6718755	-40.4984617
Guarapuava	179256.0	Brazil	-25.3950986	-51.4622016
Guaratinguetá	119753.0	Brazil	-22.8057839	-45.1908926
Guarujá	313421.0	Brazil	-23.9927768	-46.2558332
Guarulhos	1337087.0	Brazil	-23.4430602	-46.524459
Hortolandia	219039.0	Brazil	-22.85833	-47.22
Ibirité	175721.0	Brazil	-20.0214251	-44.0621506
Igarassu	113956.0	Brazil	-7.8354423	-34.9061125
Iguatu	102013.0	Brazil	-6.361934	-39.2972233
Ilhéus	178210.0	Brazil	-14.792599	-39.0453843
Imperatriz	253873.0	Brazil	-5.5269279	-47.478115
Indaiatuba	235367.0	Brazil	-23.09028	-47.21806
Ipatinga	259324.0	Brazil	-19.4777807	-42.5270802
Itaberaí	118481.0	Brazil	-16.0205509	-49.8060341
Itaboraí	230786.0	Brazil	-22.7496231	-42.8557428
Itabuna	220386.0	Brazil	-14.7869879	-39.2788778
Itaguaí	120855.0	Brazil	-22.8629597	-43.775322
Itajaí	208958.0	Brazil	-26.9117879	-48.6669852
Itapecerica da Serra	169103.0	Brazil	-23.7176303	-46.8492435
Itapetininga	158561.0	Brazil	-23.588607	-48.048326
Itapevi	226488.0	Brazil	-23.54888	-46.933889
Itapipoca	126234.0	Brazil	-3.499329	-39.583571
Itaquaquecetuba	356774.0	Brazil	-23.4754492	-46.3514033
Itatiba	114912.0	Brazil	-22.9965861	-46.8412042
Itu	168643.0	Brazil	-23.2638828	-47.298892
Ituiutaba	103945.0	Brazil	-18.9691887	-49.4639335
Itumbiara	101544.0	Brazil	-18.4135862	-49.2172596
Jaboatao	691125.0	Brazil	-8.1752476	-34.9468716
Jacareí	228214.0	Brazil	-23.30528	-45.96583
Jandira	120177.0	Brazil	-23.5282044	-46.9019554
Japeri	100562.0	Brazil	-22.6427642	-43.6533831
Jaraguá do Sul	167300.0	Brazil	-26.4897432	-49.0778063
Jaú	144828.0	Brazil	-22.293585	-48.559193
Jequié	161880.0	Brazil	-13.8604033	-40.0719627
Ji-Paraná	131560.0	Brazil	-10.8778148	-61.9277854
Joao Pessoa	801718.0	Brazil	-7.1215981	-34.882028
Joinville	569645.0	Brazil	-26.3044898	-48.8486726
Juazeiro	220253.0	Brazil	-9.4336959	-40.5068201
Juàzeiro do Norte	268248.0	Brazil	-7.2153453	-39.3153336
Juiz de Fora	559636.0	Brazil	-21.7609533	-43.3501129
Jundiaí	405740.0	Brazil	-23.1887866	-46.8845122
Lagarto	103188.0	Brazil	-10.9141791	-37.6715308
Lages	158620.0	Brazil	-27.8165664	-50.325883
